Sample,Family ,Biomass,Common_name,SL (lab),FL (lab),Collection Date,Proccess Date,Slope_NH3,Yintercept_NH3,ABS_A_NH3,ABS_B_NH3,Conc_A_NH3,Conc_B_NH3,Conc_Diff_NH3,Slope_PO3,Yintercept_PO3,ABS_A_PO3,ABS_B_PO3,Conc_A_PO3,Conc_B_PO3,Conc_Diff_PO3
14,Atherinopsidae,0.604,Atlantic Silverside,40,46,20180711,20190729,132.35,-1.2133,-0.001,0.013,-1.346,0.507,1.853,109.74,-0.906,0.004,0.018,-0.467,1.069,1.536
16,Atherinopsidae,10.1,Atlantic Silverside,103,113,20180711,20190729,132.35,-1.2133,0.106,0.121,12.816,14.735,1.919,109.74,-0.906,0.012,0.034,0.411,2.825,2.414
19,Atherinopsidae,8.079,Atlantic Silverside,98,104,20180711,20190729,132.35,-1.2133,0.088,0.121,10.434,14.801,4.368,109.74,-0.906,0.007,0.031,-0.138,2.496,2.634
36,Atherinopsidae,1.966,Atlantic Silverside,59,65,20180711,20190726,132.11,1.6326,-0.013,-0.001,-0.085,1.567,1.651,114.02,-0.327,0.003,0.008,0.015,0.528,0.513
38,Atherinopsidae,1.945,Atlantic Silverside,54,61,20180711,20190726,132.11,1.6326,-0.009,0.007,0.444,2.557,2.114,114.02,-0.327,0.002,0.027,-0.099,2.752,2.851
42,Atherinopsidae,2.282,Atlantic Silverside,59,65,20180713,20190804,134.19,-0.2751,0.007,0.029,0.664,3.616,2.952,110.53,-0.326,0.005,0.008,0.227,0.559,0.332
46,Atherinopsidae,2.133,Atlantic Silverside,60,68,20180713,20190804,134.19,-0.2751,0.013,0.048,1.469,6.166,4.697,110.53,-0.326,0.003,0.012,0.006,1.001,0.995
58,Atherinopsidae,0.39,Atlantic Silverside,,20,20180713,20190804,134.19,-0.2751,0.001,0.047,-0.141,6.032,6.173,110.53,-0.326,0.001,0.01,-0.215,0.78,0.995
131,Atherinopsidae,0.74,Atlantic Silverside,18,21,20180816,20190612,138.13,-1.5337,0.059,0.069,6.616,7.997,1.381,119.51,-0.119,0.002,0.012,0.12,1.315,1.195
127,Batrachoididae,19.894,Oyster Toadfish,93,107,20180816,20190630,149.56,1.4461,0.012,0.053,3.241,9.373,6.132,114.33,0.257,0.006,0.007,0.943,1.057,0.114
